id	cluster	value	batch	group
80	C33	cluster2	0	PRJNA660092	Control
81	C33	cluster3	0	PRJNA660092	Control
82	C34	cluster2	0	PRJNA660092	Control
83	C34	cluster3	0	PRJNA660092	Control
84	C34	cluster1	0.0465116279069767	PRJNA660092	Control
85	C35	cluster2	0	PRJNA660092	Control
86	C35	cluster1	0	PRJNA660092	Control
87	C35	cluster3	0	PRJNA660092	Control
88	C36	cluster3	0	PRJNA660092	Control
89	C36	cluster2	0	PRJNA660092	Control
90	C36	cluster1	0.0232558139534884	PRJNA660092	Control
91	C37	cluster3	0	PRJNA660092	Control
92	C37	cluster1	0.0465116279069767	PRJNA660092	Control
93	C37	cluster2	0.0465116279069767	PRJNA660092	Control
94	C38	cluster1	0	PRJNA660092	Control
95	C38	cluster2	0	PRJNA660092	Control
96	C38	cluster3	0	PRJNA660092	Control
97	C39	cluster3	0	PRJNA660092	Control
98	C39	cluster2	0	PRJNA660092	Control
99	C39	cluster1	0.0232558139534884	PRJNA660092	Control
100	C4	cluster3	0.0465116279069767	PRJNA660092	Control
101	C4	cluster1	0.0232558139534884	PRJNA660092	Control
102	C4	cluster2	0.0232558139534884	PRJNA660092	Control
103	C40	cluster2	0	PRJNA660092	Control
104	C40	cluster1	0.0697674418604651	PRJNA660092	Control
105	C40	cluster3	0	PRJNA660092	Control
106	C41	cluster1	0.0232558139534884	PRJNA660092	Control
107	C41	cluster2	0.0465116279069767	PRJNA660092	Control
108	C41	cluster3	0	PRJNA660092	Control
109	C42	cluster2	0.0232558139534884	PRJNA660092	Control
110	C42	cluster1	0	PRJNA660092	Control
111	C42	cluster3	0	PRJNA660092	Control
112	C43	cluster3	0.0232558139534884	PRJNA660092	Control
113	C43	cluster2	0	PRJNA660092	Control
114	C43	cluster1	0	PRJNA660092	Control
115	C44	cluster3	0	PRJNA660092	Control
116	C44	cluster2	0.0465116279069767	PRJNA660092	Control
117	C44	cluster1	0	PRJNA660092	Control
118	C45	cluster2	0.0930232558139535	PRJNA660092	Control
119	C45	cluster1	0.0232558139534884	PRJNA660092	Control
120	C45	cluster3	0	PRJNA660092	Control
121	C46	cluster3	0	PRJNA660092	Control
122	C46	cluster1	0.0232558139534884	PRJNA660092	Control
123	C46	cluster2	0.0465116279069767	PRJNA660092	Control
124	C47	cluster2	0.0232558139534884	PRJNA660092	Control
125	C47	cluster3	0	PRJNA660092	Control
126	C47	cluster1	0	PRJNA660092	Control
127	C48	cluster2	0.0465116279069767	PRJNA660092	Control
128	C48	cluster1	0	PRJNA660092	Control
129	C48	cluster3	0	PRJNA660092	Control
130	C49	cluster3	0	PRJNA660092	Control
131	C49	cluster2	0	PRJNA660092	Control
132	C49	cluster1	0	PRJNA660092	Control
133	C5	cluster3	0	PRJNA660092	Control
134	C5	cluster2	0.0465116279069767	PRJNA660092	Control
135	C5	cluster1	0	PRJNA660092	Control
136	C50	cluster3	0	PRJNA660092	Control
137	C50	cluster2	0.0232558139534884	PRJNA660092	Control
138	C50	cluster1	0	PRJNA660092	Control
139	C51	cluster3	0	PRJNA660092	Control
140	C51	cluster2	0	PRJNA660092	Control
141	C51	cluster1	0	PRJNA660092	Control
142	C6	cluster2	0	PRJNA660092	Control
143	C6	cluster1	0	PRJNA660092	Control
144	C6	cluster3	0	PRJNA660092	Control
145	C7	cluster2	0	PRJNA660092	Control
146	C7	cluster3	0	PRJNA660092	Control
147	C7	cluster1	0	PRJNA660092	Control
148	C8	cluster1	0	PRJNA660092	Control
149	C8	cluster2	0	PRJNA660092	Control
150	C8	cluster3	0	PRJNA660092	Control
151	C9	cluster1	0	PRJNA660092	Control
152	C9	cluster3	0	PRJNA660092	Control
153	C9	cluster2	0.0697674418604651	PRJNA660092	Control
154	ConT1	cluster1	0.0232558139534884	PRJNA853196	Control
155	ConT1	cluster2	0	PRJNA853196	Control
156	ConT1	cluster3	0	PRJNA853196	Control
157	ConT10	cluster1	0	PRJNA853196	Control
158	ConT10	cluster3	0.0232558139534884	PRJNA853196	Control
159	ConT10	cluster2	0	PRJNA853196	Control
160	ConT11	cluster2	0	PRJNA853196	Control
161	ConT11	cluster3	0.0930232558139535	PRJNA853196	Control
162	ConT11	cluster1	0	PRJNA853196	Control
163	ConT12	cluster1	0	PRJNA853196	Control
164	ConT12	cluster2	0.0232558139534884	PRJNA853196	Control
165	ConT12	cluster3	0.13953488372093	PRJNA853196	Control
166	ConT13	cluster2	0	PRJNA853196	Control
167	ConT13	cluster1	0	PRJNA853196	Control
168	ConT13	cluster3	0	PRJNA853196	Control
169	ConT14	cluster1	0	PRJNA853196	Control
170	ConT14	cluster2	0.0232558139534884	PRJNA853196	Control
171	ConT14	cluster3	0	PRJNA853196	Control
172	ConT15	cluster1	0	PRJNA853196	Control
173	ConT15	cluster2	0.0232558139534884	PRJNA853196	Control
174	ConT15	cluster3	0.0232558139534884	PRJNA853196	Control
175	ConT16	cluster1	0	PRJNA853196	Control
176	ConT16	cluster2	0.0697674418604651	PRJNA853196	Control
177	ConT16	cluster3	0	PRJNA853196	Control
178	ConT17	cluster1	0.0232558139534884	PRJNA853196	Control
179	ConT17	cluster2	0.0232558139534884	PRJNA853196	Control
180	ConT17	cluster3	0.162790697674419	PRJNA853196	Control
181	ConT18	cluster2	0	PRJNA853196	Control
182	ConT18	cluster1	0.0232558139534884	PRJNA853196	Control
183	ConT18	cluster3	0	PRJNA853196	Control
184	ConT19	cluster2	0.0232558139534884	PRJNA853196	Control
185	ConT19	cluster3	0	PRJNA853196	Control
186	ConT19	cluster1	0	PRJNA853196	Control
187	ConT2	cluster1	0	PRJNA853196	Control
188	ConT2	cluster2	0	PRJNA853196	Control
189	ConT2	cluster3	0.0232558139534884	PRJNA853196	Control
190	ConT20	cluster1	0.0232558139534884	PRJNA853196	Control
191	ConT20	cluster2	0.0465116279069767	PRJNA853196	Control
192	ConT20	cluster3	0	PRJNA853196	Control
193	ConT21	cluster3	0.186046511627907	PRJNA853196	Control
194	ConT21	cluster1	0.0232558139534884	PRJNA853196	Control
195	ConT21	cluster2	0.0232558139534884	PRJNA853196	Control
196	ConT22	cluster2	0.0232558139534884	PRJNA853196	Control
197	ConT22	cluster1	0	PRJNA853196	Control
198	ConT22	cluster3	0.0465116279069767	PRJNA853196	Control
199	ConT23	cluster3	0	PRJNA853196	Control
200	ConT23	cluster2	0	PRJNA853196	Control
201	ConT23	cluster1	0	PRJNA853196	Control
202	ConT24	cluster3	0.0232558139534884	PRJNA853196	Control
203	ConT24	cluster2	0.0232558139534884	PRJNA853196	Control
204	ConT24	cluster1	0	PRJNA853196	Control
205	ConT25	cluster2	0.0232558139534884	PRJNA853196	Control
206	ConT25	cluster3	0.0697674418604651	PRJNA853196	Control
207	ConT25	cluster1	0	PRJNA853196	Control
208	ConT26	cluster1	0.0232558139534884	PRJNA853196	Control
209	ConT26	cluster2	0.0232558139534884	PRJNA853196	Control
210	ConT26	cluster3	0.0465116279069767	PRJNA853196	Control
211	ConT27	cluster3	0.0465116279069767	PRJNA853196	Control
212	ConT27	cluster2	0.0232558139534884	PRJNA853196	Control
213	ConT27	cluster1	0	PRJNA853196	Control
214	ConT28	cluster3	0.0232558139534884	PRJNA853196	Control
215	ConT28	cluster2	0.0465116279069767	PRJNA853196	Control
216	ConT28	cluster1	0	PRJNA853196	Control
217	ConT29	cluster3	0.0697674418604651	PRJNA853196	Control
218	ConT29	cluster2	0.0232558139534884	PRJNA853196	Control
219	ConT29	cluster1	0	PRJNA853196	Control
220	ConT3	cluster3	0	PRJNA853196	Control
221	ConT3	cluster2	0	PRJNA853196	Control
222	ConT3	cluster1	0	PRJNA853196	Control
223	ConT30	cluster3	0.162790697674419	PRJNA853196	Control
224	ConT30	cluster2	0	PRJNA853196	Control
225	ConT30	cluster1	0	PRJNA853196	Control
226	ConT31	cluster3	0	PRJNA853196	Control
227	ConT31	cluster2	0.0232558139534884	PRJNA853196	Control
228	ConT31	cluster1	0	PRJNA853196	Control
229	ConT32	cluster3	0.0465116279069767	PRJNA853196	Control
230	ConT32	cluster1	0	PRJNA853196	Control
231	ConT32	cluster2	0.0232558139534884	PRJNA853196	Control
232	ConT33	cluster2	0.0232558139534884	PRJNA853196	Control
233	ConT33	cluster1	0.0232558139534884	PRJNA853196	Control
234	ConT33	cluster3	0.0232558139534884	PRJNA853196	Control
235	ConT34	cluster3	0.0465116279069767	PRJNA853196	Control
236	ConT34	cluster1	0	PRJNA853196	Control
237	ConT34	cluster2	0	PRJNA853196	Control
238	ConT35	cluster1	0	PRJNA853196	Control
239	ConT35	cluster3	0	PRJNA853196	Control
240	ConT35	cluster2	0.0232558139534884	PRJNA853196	Control
241	ConT36	cluster3	0	PRJNA853196	Control
242	ConT36	cluster2	0.0465116279069767	PRJNA853196	Control
243	ConT36	cluster1	0	PRJNA853196	Control
244	ConT37	cluster3	0	PRJNA853196	Control
245	ConT37	cluster2	0.0697674418604651	PRJNA853196	Control
246	ConT37	cluster1	0	PRJNA853196	Control
247	ConT38	cluster3	0.0232558139534884	PRJNA853196	Control
248	ConT38	cluster1	0	PRJNA853196	Control
249	ConT38	cluster2	0.0232558139534884	PRJNA853196	Control
250	ConT39	cluster2	0.0465116279069767	PRJNA853196	Control
251	ConT39	cluster1	0	PRJNA853196	Control
252	ConT39	cluster3	0	PRJNA853196	Control
253	ConT4	cluster1	0	PRJNA853196	Control
254	ConT4	cluster3	0	PRJNA853196	Control
255	ConT4	cluster2	0.0232558139534884	PRJNA853196	Control
256	ConT40	cluster3	0.116279069767442	PRJNA853196	Control
257	ConT40	cluster2	0	PRJNA853196	Control
258	ConT40	cluster1	0	PRJNA853196	Control
259	ConT41	cluster3	0	PRJNA853196	Control
260	ConT41	cluster2	0.0232558139534884	PRJNA853196	Control
261	ConT41	cluster1	0	PRJNA853196	Control
262	ConT42	cluster3	0.0232558139534884	PRJNA853196	Control
263	ConT42	cluster2	0.0232558139534884	PRJNA853196	Control
264	ConT42	cluster1	0	PRJNA853196	Control
265	ConT43	cluster1	0.0232558139534884	PRJNA853196	Control
266	ConT43	cluster3	0.0465116279069767	PRJNA853196	Control
267	ConT43	cluster2	0.0232558139534884	PRJNA853196	Control
268	ConT44	cluster1	0	PRJNA853196	Control
269	ConT44	cluster2	0	PRJNA853196	Control
270	ConT44	cluster3	0	PRJNA853196	Control
271	ConT45	cluster2	0.0465116279069767	PRJNA853196	Control
272	ConT45	cluster3	0	PRJNA853196	Control
273	ConT45	cluster1	0	PRJNA853196	Control
274	ConT46	cluster1	0	PRJNA853196	Control
275	ConT46	cluster2	0	PRJNA853196	Control
276	ConT46	cluster3	0	PRJNA853196	Control
277	ConT47	cluster2	0	PRJNA853196	Control
278	ConT47	cluster1	0	PRJNA853196	Control
279	ConT47	cluster3	0.0232558139534884	PRJNA853196	Control
280	ConT48	cluster1	0	PRJNA853196	Control
281	ConT48	cluster3	0	PRJNA853196	Control
282	ConT48	cluster2	0.0697674418604651	PRJNA853196	Control
283	ConT49	cluster3	0	PRJNA853196	Control
284	ConT49	cluster2	0.0232558139534884	PRJNA853196	Control
285	ConT49	cluster1	0	PRJNA853196	Control
286	ConT5	cluster1	0	PRJNA853196	Control
287	ConT5	cluster3	0.0465116279069767	PRJNA853196	Control
288	ConT5	cluster2	0	PRJNA853196	Control
289	ConT50	cluster3	0	PRJNA853196	Control
290	ConT50	cluster1	0	PRJNA853196	Control
291	ConT50	cluster2	0.0232558139534884	PRJNA853196	Control
292	ConT51	cluster3	0.0232558139534884	PRJNA853196	Control
293	ConT51	cluster1	0	PRJNA853196	Control
294	ConT51	cluster2	0	PRJNA853196	Control
295	ConT52	cluster3	0	PRJNA853196	Control
296	ConT52	cluster2	0.0465116279069767	PRJNA853196	Control
297	ConT52	cluster1	0	PRJNA853196	Control
298	ConT53	cluster3	0.0232558139534884	PRJNA853196	Control
299	ConT53	cluster2	0	PRJNA853196	Control
300	ConT53	cluster1	0	PRJNA853196	Control
301	ConT6	cluster1	0	PRJNA853196	Control
302	ConT6	cluster2	0.0465116279069767	PRJNA853196	Control
303	ConT6	cluster3	0	PRJNA853196	Control
304	ConT7	cluster3	0	PRJNA853196	Control
305	ConT7	cluster1	0	PRJNA853196	Control
306	ConT7	cluster2	0.0465116279069767	PRJNA853196	Control
307	ConT8	cluster3	0	PRJNA853196	Control
308	ConT8	cluster2	0	PRJNA853196	Control
309	ConT8	cluster1	0	PRJNA853196	Control
310	ConT9	cluster3	0	PRJNA853196	Control
311	ConT9	cluster2	0	PRJNA853196	Control
312	ConT9	cluster1	0	PRJNA853196	Control
313	CQC1	cluster3	0.0232558139534884	Chongqing Cohort	Control
314	CQC1	cluster2	0	Chongqing Cohort	Control
315	CQC1	cluster1	0	Chongqing Cohort	Control
316	CQC10	cluster1	0	Chongqing Cohort	Control
317	CQC10	cluster2	0.0465116279069767	Chongqing Cohort	Control
318	CQC10	cluster3	0	Chongqing Cohort	Control
319	CQC11	cluster2	0.0465116279069767	Chongqing Cohort	Control
320	CQC11	cluster3	0	Chongqing Cohort	Control
321	CQC11	cluster1	0	Chongqing Cohort	Control
322	CQC12	cluster2	0.0465116279069767	Chongqing Cohort	Control
323	CQC12	cluster1	0	Chongqing Cohort	Control
324	CQC12	cluster3	0.0232558139534884	Chongqing Cohort	Control
325	CQC13	cluster3	0	Chongqing Cohort	Control
326	CQC13	cluster2	0.0465116279069767	Chongqing Cohort	Control
327	CQC13	cluster1	0	Chongqing Cohort	Control
328	CQC14	cluster2	0.0232558139534884	Chongqing Cohort	Control
329	CQC14	cluster1	0.0930232558139535	Chongqing Cohort	Control
330	CQC14	cluster3	0	Chongqing Cohort	Control
331	CQC15	cluster3	0	Chongqing Cohort	Control
332	CQC15	cluster2	0.0232558139534884	Chongqing Cohort	Control
333	CQC15	cluster1	0	Chongqing Cohort	Control
334	CQC16	cluster2	0.0697674418604651	Chongqing Cohort	Control
335	CQC16	cluster3	0	Chongqing Cohort	Control
336	CQC16	cluster1	0	Chongqing Cohort	Control
337	CQC17	cluster3	0.0697674418604651	Chongqing Cohort	Control
338	CQC17	cluster2	0.0465116279069767	Chongqing Cohort	Control
339	CQC17	cluster1	0.0697674418604651	Chongqing Cohort	Control
340	CQC18	cluster1	0.0697674418604651	Chongqing Cohort	Control
341	CQC18	cluster3	0.116279069767442	Chongqing Cohort	Control
342	CQC18	cluster2	0.0697674418604651	Chongqing Cohort	Control
343	CQC19	cluster2	0	Chongqing Cohort	Control
344	CQC19	cluster1	0.0697674418604651	Chongqing Cohort	Control
345	CQC19	cluster3	0	Chongqing Cohort	Control
346	CQC2	cluster3	0.0465116279069767	Chongqing Cohort	Control
347	CQC2	cluster2	0	Chongqing Cohort	Control
348	CQC2	cluster1	0	Chongqing Cohort	Control
349	CQC20	cluster1	0.0697674418604651	Chongqing Cohort	Control
350	CQC20	cluster3	0	Chongqing Cohort	Control
351	CQC20	cluster2	0.0697674418604651	Chongqing Cohort	Control
352	CQC21	cluster1	0	Chongqing Cohort	Control
353	CQC21	cluster3	0	Chongqing Cohort	Control
354	CQC21	cluster2	0.0465116279069767	Chongqing Cohort	Control
355	CQC22	cluster3	0	Chongqing Cohort	Control
356	CQC22	cluster2	0.0232558139534884	Chongqing Cohort	Control
357	CQC22	cluster1	0	Chongqing Cohort	Control
358	CQC23	cluster3	0.116279069767442	Chongqing Cohort	Control
359	CQC23	cluster2	0.0232558139534884	Chongqing Cohort	Control
360	CQC23	cluster1	0.0930232558139535	Chongqing Cohort	Control
361	CQC24	cluster3	0	Chongqing Cohort	Control
362	CQC24	cluster1	0.0232558139534884	Chongqing Cohort	Control
363	CQC24	cluster2	0.0697674418604651	Chongqing Cohort	Control
364	CQC25	cluster3	0.0232558139534884	Chongqing Cohort	Control
365	CQC25	cluster2	0.0930232558139535	Chongqing Cohort	Control
366	CQC25	cluster1	0.0697674418604651	Chongqing Cohort	Control
367	CQC3	cluster2	0.0232558139534884	Chongqing Cohort	Control
368	CQC3	cluster1	0	Chongqing Cohort	Control
369	CQC3	cluster3	0	Chongqing Cohort	Control
370	CQC4	cluster2	0.0465116279069767	Chongqing Cohort	Control
371	CQC4	cluster1	0.0232558139534884	Chongqing Cohort	Control
372	CQC4	cluster3	0.0232558139534884	Chongqing Cohort	Control
373	CQC5	cluster1	0.0697674418604651	Chongqing Cohort	Control
374	CQC5	cluster2	0.0232558139534884	Chongqing Cohort	Control
375	CQC5	cluster3	0	Chongqing Cohort	Control
376	CQC6	cluster3	0	Chongqing Cohort	Control
377	CQC6	cluster2	0.0697674418604651	Chongqing Cohort	Control
378	CQC6	cluster1	0.0465116279069767	Chongqing Cohort	Control
379	CQC7	cluster3	0	Chongqing Cohort	Control
380	CQC7	cluster2	0.0697674418604651	Chongqing Cohort	Control
381	CQC7	cluster1	0	Chongqing Cohort	Control
382	CQC8	cluster3	0	Chongqing Cohort	Control
383	CQC8	cluster2	0.0232558139534884	Chongqing Cohort	Control
384	CQC8	cluster1	0	Chongqing Cohort	Control
385	CQC9	cluster3	0	Chongqing Cohort	Control
386	CQC9	cluster2	0.0697674418604651	Chongqing Cohort	Control
387	CQC9	cluster1	0	Chongqing Cohort	Control
388	CQEC1	cluster3	0.0465116279069767	Chongqing Cohort	Disease
389	CQEC1	cluster1	0.0930232558139535	Chongqing Cohort	Disease
390	CQEC1	cluster2	0	Chongqing Cohort	Disease
391	CQEC10	cluster3	0	Chongqing Cohort	Disease
392	CQEC10	cluster2	0.0697674418604651	Chongqing Cohort	Disease
393	CQEC10	cluster1	0	Chongqing Cohort	Disease
394	CQEC11	cluster1	0	Chongqing Cohort	Disease
395	CQEC11	cluster2	0.0232558139534884	Chongqing Cohort	Disease
396	CQEC11	cluster3	0.0232558139534884	Chongqing Cohort	Disease
397	CQEC12	cluster2	0	Chongqing Cohort	Disease
398	CQEC12	cluster1	0.0232558139534884	Chongqing Cohort	Disease
399	CQEC12	cluster3	0.13953488372093	Chongqing Cohort	Disease
400	CQEC13	cluster3	0.0465116279069767	Chongqing Cohort	Disease
401	CQEC13	cluster2	0.0232558139534884	Chongqing Cohort	Disease
402	CQEC13	cluster1	0.0465116279069767	Chongqing Cohort	Disease
403	CQEC14	cluster3	0.0930232558139535	Chongqing Cohort	Disease
404	CQEC14	cluster1	0.116279069767442	Chongqing Cohort	Disease
405	CQEC14	cluster2	0	Chongqing Cohort	Disease
406	CQEC15	cluster2	0.0232558139534884	Chongqing Cohort	Disease
407	CQEC15	cluster1	0.0697674418604651	Chongqing Cohort	Disease
408	CQEC15	cluster3	0	Chongqing Cohort	Disease
409	CQEC16	cluster3	0.162790697674419	Chongqing Cohort	Disease
410	CQEC16	cluster2	0.0232558139534884	Chongqing Cohort	Disease
411	CQEC16	cluster1	0	Chongqing Cohort	Disease
412	CQEC17	cluster1	0.0465116279069767	Chongqing Cohort	Disease
413	CQEC17	cluster2	0.0465116279069767	Chongqing Cohort	Disease
414	CQEC17	cluster3	0.0232558139534884	Chongqing Cohort	Disease
415	CQEC18	cluster2	0	Chongqing Cohort	Disease
416	CQEC18	cluster1	0.13953488372093	Chongqing Cohort	Disease
417	CQEC18	cluster3	0.0697674418604651	Chongqing Cohort	Disease
418	CQEC19	cluster3	0	Chongqing Cohort	Disease
419	CQEC19	cluster2	0.0465116279069767	Chongqing Cohort	Disease
420	CQEC19	cluster1	0	Chongqing Cohort	Disease
421	CQEC2	cluster1	0	Chongqing Cohort	Disease
422	CQEC2	cluster2	0.0697674418604651	Chongqing Cohort	Disease
423	CQEC2	cluster3	0	Chongqing Cohort	Disease
424	CQEC20	cluster2	0.0465116279069767	Chongqing Cohort	Disease
425	CQEC20	cluster1	0.0465116279069767	Chongqing Cohort	Disease
426	CQEC20	cluster3	0	Chongqing Cohort	Disease
427	CQEC21	cluster3	0.0697674418604651	Chongqing Cohort	Disease
428	CQEC21	cluster2	0.0465116279069767	Chongqing Cohort	Disease
429	CQEC21	cluster1	0	Chongqing Cohort	Disease
430	CQEC22	cluster1	0.116279069767442	Chongqing Cohort	Disease
431	CQEC22	cluster3	0	Chongqing Cohort	Disease
432	CQEC22	cluster2	0.0465116279069767	Chongqing Cohort	Disease
433	CQEC23	cluster2	0.0465116279069767	Chongqing Cohort	Disease
434	CQEC23	cluster1	0	Chongqing Cohort	Disease
435	CQEC23	cluster3	0	Chongqing Cohort	Disease
436	CQEC24	cluster2	0.0232558139534884	Chongqing Cohort	Disease
437	CQEC24	cluster3	0.0930232558139535	Chongqing Cohort	Disease
438	CQEC24	cluster1	0.0232558139534884	Chongqing Cohort	Disease
439	CQEC25	cluster2	0	Chongqing Cohort	Disease
440	CQEC25	cluster3	0.0930232558139535	Chongqing Cohort	Disease
441	CQEC25	cluster1	0.0465116279069767	Chongqing Cohort	Disease
442	CQEC3	cluster1	0.162790697674419	Chongqing Cohort	Disease
443	CQEC3	cluster2	0	Chongqing Cohort	Disease
444	CQEC3	cluster3	0	Chongqing Cohort	Disease
445	CQEC4	cluster2	0.0232558139534884	Chongqing Cohort	Disease
446	CQEC4	cluster3	0	Chongqing Cohort	Disease
447	CQEC4	cluster1	0.116279069767442	Chongqing Cohort	Disease
448	CQEC5	cluster2	0	Chongqing Cohort	Disease
449	CQEC5	cluster3	0.186046511627907	Chongqing Cohort	Disease
450	CQEC5	cluster1	0.0465116279069767	Chongqing Cohort	Disease
451	CQEC6	cluster3	0.0465116279069767	Chongqing Cohort	Disease
452	CQEC6	cluster2	0	Chongqing Cohort	Disease
453	CQEC6	cluster1	0	Chongqing Cohort	Disease
454	CQEC7	cluster3	0.0465116279069767	Chongqing Cohort	Disease
455	CQEC7	cluster1	0.0697674418604651	Chongqing Cohort	Disease
456	CQEC7	cluster2	0.0232558139534884	Chongqing Cohort	Disease
457	CQEC8	cluster1	0.162790697674419	Chongqing Cohort	Disease
458	CQEC8	cluster3	0	Chongqing Cohort	Disease
459	CQEC8	cluster2	0.0465116279069767	Chongqing Cohort	Disease
460	CQEC9	cluster1	0	Chongqing Cohort	Disease
461	CQEC9	cluster3	0.0697674418604651	Chongqing Cohort	Disease
462	CQEC9	cluster2	0	Chongqing Cohort	Disease
463	EC1	cluster3	0.0232558139534884	PRJNA660092	Disease
464	EC1	cluster1	0.0930232558139535	PRJNA660092	Disease
465	EC1	cluster2	0.0232558139534884	PRJNA660092	Disease
466	EC10	cluster3	0.0232558139534884	PRJNA660092	Disease
467	EC10	cluster2	0	PRJNA660092	Disease
468	EC10	cluster1	0	PRJNA660092	Disease
469	EC11	cluster3	0.0465116279069767	PRJNA660092	Disease
470	EC11	cluster2	0	PRJNA660092	Disease
471	EC11	cluster1	0.116279069767442	PRJNA660092	Disease
472	EC12	cluster3	0.0232558139534884	PRJNA660092	Disease
473	EC12	cluster2	0.0232558139534884	PRJNA660092	Disease
474	EC12	cluster1	0.13953488372093	PRJNA660092	Disease
475	EC13	cluster3	0	PRJNA660092	Disease
476	EC13	cluster2	0.0232558139534884	PRJNA660092	Disease
477	EC13	cluster1	0.0232558139534884	PRJNA660092	Disease
478	EC14	cluster3	0.0465116279069767	PRJNA660092	Disease
479	EC14	cluster2	0.0232558139534884	PRJNA660092	Disease
480	EC14	cluster1	0.116279069767442	PRJNA660092	Disease
481	EC15	cluster1	0.0232558139534884	PRJNA660092	Disease
482	EC15	cluster3	0	PRJNA660092	Disease
483	EC15	cluster2	0	PRJNA660092	Disease
484	EC16	cluster2	0	PRJNA660092	Disease
485	EC16	cluster1	0.0930232558139535	PRJNA660092	Disease
486	EC16	cluster3	0	PRJNA660092	Disease
487	EC17	cluster2	0	PRJNA660092	Disease
488	EC17	cluster1	0.116279069767442	PRJNA660092	Disease
489	EC17	cluster3	0.0232558139534884	PRJNA660092	Disease
490	EC18	cluster1	0	PRJNA660092	Disease
491	EC18	cluster3	0	PRJNA660092	Disease
