	PCoA1	PCoA2	batch	group	
ConT17	0.038907527	-0.053759768	PRJNA853196	Control	
ConT18	0.054190232	-0.066539851	PRJNA853196	Control	
ConT19	0.063564363	-0.000406807	PRJNA853196	Control	
ConT2	0.089154441	-0.067900682	PRJNA853196	Control	
ConT20	0.052734598	-0.014910436	PRJNA853196	Control	
ConT21	0.05801323	-0.069301978	PRJNA853196	Control	
ConT22	0.069015211	-0.116156444	PRJNA853196	Control	
ConT23	0.076493439	-0.100747854	PRJNA853196	Control	
ConT24	0.051157328	-0.052687144	PRJNA853196	Control	
ConT25	0.059184799	-0.079216493	PRJNA853196	Control	
ConT26	0.075424533	-0.110037868	PRJNA853196	Control	
ConT27	0.075721739	-0.107756632	PRJNA853196	Control	
ConT28	0.070801786	-0.095323697	PRJNA853196	Control	
ConT29	0.049404207	-0.064238772	PRJNA853196	Control	
ConT3	0.065099368	-0.000382976	PRJNA853196	Control	
ConT30	0.089351517	0.009836116	PRJNA853196	Control	
ConT31	0.060988008	-0.073443387	PRJNA853196	Control	
ConT32	0.071178447	-0.097179774	PRJNA853196	Control	
ConT33	0.072062619	-0.09055382	PRJNA853196	Control	
ConT34	0.073775522	-0.109365304	PRJNA853196	Control	
ConT35	0.065970229	-0.06338191	PRJNA853196	Control	
ConT36	0.052359316	-0.010114824	PRJNA853196	Control	
ConT37	0.049579405	0.012151277	PRJNA853196	Control	
ConT38	0.068575067	-0.061662103	PRJNA853196	Control	
ConT39	0.061418077	0.007963653	PRJNA853196	Control	
ConT4	0.057870234	0.006280289	PRJNA853196	Control	
ConT40	0.018922914	-0.023426822	PRJNA853196	Control	
ConT41	0.078931904	-0.028067797	PRJNA853196	Control	
ConT42	0.053138767	-0.029868505	PRJNA853196	Control	
ConT43	0.070483683	-0.112874645	PRJNA853196	Control	
ConT44	0.090547886	-0.025076234	PRJNA853196	Control	
ConT45	0.077186937	-0.039772751	PRJNA853196	Control	
ConT46	0.070195565	-0.076470276	PRJNA853196	Control	
ConT47	0.088750879	0.049407694	PRJNA853196	Control	
ConT48	0.054591869	0.054223522	PRJNA853196	Control	
ConT49	0.064660003	0.006863156	PRJNA853196	Control	
ConT5	0.069027745	-0.091583085	PRJNA853196	Control	
ConT50	0.074600352	-0.017629378	PRJNA853196	Control	
ConT51	0.075758511	-0.096068604	PRJNA853196	Control	
ConT52	0.062108658	-0.024880833	PRJNA853196	Control	
ConT53	0.092777623	-0.019798134	PRJNA853196	Control	
ConT6	0.033447677	0.012530458	PRJNA853196	Control	
ConT7	0.071605599	0.09109795	PRJNA853196	Control	
ConT8	0.090049192	-0.036494741	PRJNA853196	Control	
ConT9	0.082530325	0.090316724	PRJNA853196	Control	
CQC1	0.075883219	-0.008016939	Chongqing	Cohort	Control
CQC10	0.064364697	0.072543535	Chongqing	Cohort	Control
CQC11	0.027147636	0.036824347	Chongqing	Cohort	Control
CQC12	0.015606517	-0.000588662	Chongqing	Cohort	Control
CQC13	0.028820498	0.057033885	Chongqing	Cohort	Control
CQC14	0.021300113	0.035139565	Chongqing	Cohort	Control
CQC15	0.015168128	0.034778027	Chongqing	Cohort	Control
CQC16	0.007842381	0.005512785	Chongqing	Cohort	Control
CQC17	0.050564941	-0.038227586	Chongqing	Cohort	Control
CQC18	0.058479018	-0.098535154	Chongqing	Cohort	Control
CQC19	0.015732295	0.026053335	Chongqing	Cohort	Control
CQC2	0.066293574	0.085065228	Chongqing	Cohort	Control
CQC20	0.010213356	0.022860213	Chongqing	Cohort	Control
CQC21	0.068070337	-0.054695588	Chongqing	Cohort	Control
CQC22	0.059684355	0.101669304	Chongqing	Cohort	Control
CQC23	0.027084149	-0.020261001	Chongqing	Cohort	Control
CQC24	0.010856886	0.02457535	Chongqing	Cohort	Control
CQC25	0.077059498	0.016355974	Chongqing	Cohort	Control
CQC3	-0.00102928	0.003864463	Chongqing	Cohort	Control
CQC4	0.089112837	0.049244163	Chongqing	Cohort	Control
CQC5	0.073424814	0.050756625	Chongqing	Cohort	Control
CQC6	0.072013785	0.112359709	Chongqing	Cohort	Control
CQC7	0.070087385	0.103639803	Chongqing	Cohort	Control
CQC8	0.063595762	0.113851644	Chongqing	Cohort	Control
CQC9	0.06679703	0.116052197	Chongqing	Cohort	Control
CQEC1	0.084107787	-0.04006	Chongqing	Cohort	Disease
CQEC10	0.068467641	0.117745119	Chongqing	Cohort	Disease
CQEC11	0.090511683	-0.006145155	Chongqing	Cohort	Disease
CQEC12	0.026679823	-0.007223167	Chongqing	Cohort	Disease
CQEC13	0.070432536	0.016881009	Chongqing	Cohort	Disease
CQEC14	0.037463426	0.023234259	Chongqing	Cohort	Disease
CQEC15	0.062325881	0.102501171	Chongqing	Cohort	Disease
CQEC16	0.074425351	0.065015684	Chongqing	Cohort	Disease
CQEC17	0.06161481	0.107990088	Chongqing	Cohort	Disease
CQEC18	0.014052803	0.003874634	Chongqing	Cohort	Disease
CQEC19	0.068143257	0.112987625	Chongqing	Cohort	Disease
CQEC2	0.044719741	0.065785771	Chongqing	Cohort	Disease
CQEC20	0.056053153	0.090171364	Chongqing	Cohort	Disease
CQEC21	0.059955705	0.024404507	Chongqing	Cohort	Disease
CQEC22	0.072107531	-0.012723582	Chongqing	Cohort	Disease
CQEC23	0.057739354	0.098684674	Chongqing	Cohort	Disease
CQEC24	0.064885393	-0.110529245	Chongqing	Cohort	Disease
CQEC25	0.051082694	0.019093033	Chongqing	Cohort	Disease
CQEC3	0.086312634	0.056318559	Chongqing	Cohort	Disease
CQEC4	0.079065566	0.089971759	Chongqing	Cohort	Disease
CQEC5	0.01744386	-0.034811267	Chongqing	Cohort	Disease
CQEC6	0.05559621	-0.047134549	Chongqing	Cohort	Disease
CQEC7	0.056859957	-0.040269203	Chongqing	Cohort	Disease
CQEC8	0.046374258	0.079099504	Chongqing	Cohort	Disease
CQEC9	0.081319694	-0.037211995	Chongqing	Cohort	Disease
EC1	0.076316216	0.071377436	PRJNA660092	Disease	
EC10	0.043894618	0.039519561	PRJNA660092	Disease	
EC11	0.061626262	-0.000888343	PRJNA660092	Disease	
EC12	0.027253179	0.018870073	PRJNA660092	Disease	
EC13	0.040663396	0.01135111	PRJNA660092	Disease	
EC14	0.07442558	0.103870701	PRJNA660092	Disease	
EC15	0.027246771	0.004521296	PRJNA660092	Disease	
EC16	0.053489536	0.060951862	PRJNA660092	Disease	
EC17	0.068874729	-0.051497787	PRJNA660092	Disease	
EC18	0.055772281	0.086383865	PRJNA660092	Disease	
EC19	0.067930265	0.052744531	PRJNA660092	Disease	
EC2	0.055784383	0.090462909	PRJNA660092	Disease	
EC20	0.064836412	0.018260581	PRJNA660092	Disease	
EC21	0.068937128	0.066022069	PRJNA660092	Disease	
EC22	0.067708525	0.029260922	PRJNA660092	Disease	
EC23	0.053502157	0.037408194	PRJNA660092	Disease	
EC24	0.057453322	0.111245601	PRJNA660092	Disease	
EC25	0.070170288	-0.059144209	PRJNA660092	Disease	
EC26	0.013279246	-0.011027803	PRJNA660092	Disease	
EC27	0.080492998	0.031187371	PRJNA660092	Disease	
EC28	0.047210458	0.015310666	PRJNA660092	Disease	
EC29	0.069744833	0.044656309	PRJNA660092	Disease	
EC3	0.034581394	0.066189475	PRJNA660092	Disease	
EC30	0.064391659	0.083055866	PRJNA660092	Disease	
EC31	0.055580365	0.087122919	PRJNA660092	Disease	
EC32	0.047767566	0.088633895	PRJNA660092	Disease	
EC33	0.067208328	0.062010468	PRJNA660092	Disease	
EC34	0.079410955	-0.013087579	PRJNA660092	Disease	
EC35	0.074961066	0.024492339	PRJNA660092	Disease	
EC36	0.046123769	0.053192154	PRJNA660092	Disease	
EC37	0.061392995	0.057463014	PRJNA660092	Disease	
EC38	0.060252646	0.045657446	PRJNA660092	Disease	
EC39	0.052459721	-0.059127105	PRJNA660092	Disease	
EC4	0.064626323	0.109533081	PRJNA660092	Disease	
EC5	0.076001162	0.052469116	PRJNA660092	Disease	
EC6	0.019751971	0.047085829	PRJNA660092	Disease	
EC7	0.067598875	-0.052620209	PRJNA660092	Disease	
EC8	0.074395922	0.092914472	PRJNA660092	Disease	
EC9	0.043967769	0.02422043	PRJNA660092	Disease	
ESCCT1	0.063981814	-0.070460739	PRJNA853196	Disease	
ESCCT10	0.059046878	-0.089317662	PRJNA853196	Disease	
ESCCT11	0.065402079	-0.003263533	PRJNA853196	Disease	
ESCCT12	0.059124027	-0.105356925	PRJNA853196	Disease	
ESCCT13	0.07382245	-0.057742011	PRJNA853196	Disease	
ESCCT14	0.04635038	-0.000594233	PRJNA853196	Disease	
ESCCT15	0.074844458	-0.027328224	PRJNA853196	Disease	
ESCCT16	0.037715716	-0.047138146	PRJNA853196	Disease	
ESCCT17	0.039725734	-0.020138493	PRJNA853196	Disease	
ESCCT18	0.045660352	-0.026902101	PRJNA853196	Disease	
ESCCT19	0.050138835	-0.026876574	PRJNA853196	Disease	
ESCCT2	0.038268083	0.017213663	PRJNA853196	Disease	
ESCCT20	0.067989447	-0.11858951	PRJNA853196	Disease	
ESCCT21	0.06846748	-0.117631467	PRJNA853196	Disease	
ESCCT22	0.068209975	-0.125606753	PRJNA853196	Disease	
ESCCT23	0.070230033	-0.028104633	PRJNA853196	Disease	
ESCCT24	0.081940918	0.026432476	PRJNA853196	Disease	
ESCCT25	0.07351909	-0.043837514	PRJNA853196	Disease	
ESCCT26	0.088343623	0.056874731	PRJNA853196	Disease	
ESCCT27	0.076335224	-0.106624077	PRJNA853196	Disease	
ESCCT28	0.066216988	-0.11542882	PRJNA853196	Disease	
ESCCT29	0.054937199	-0.083779321	PRJNA853196	Disease	
ESCCT3	0.099749783	0.012758814	PRJNA853196	Disease	
ESCCT30	0.078569173	0.036259109	PRJNA853196	Disease	
ESCCT31	0.050203829	-0.044448407	PRJNA853196	Disease	
ESCCT32	0.05409646	-0.063860943	PRJNA853196	Disease	
ESCCT33	0.066344174	-0.124009262	PRJNA853196	Disease	
ESCCT34	0.085798416	-0.077429951	PRJNA853196	Disease	
ESCCT35	0.067259703	-0.100425667	PRJNA853196	Disease	
ESCCT36	0.069114656	-0.043420956	PRJNA853196	Disease	
ESCCT37	0.025373709	-0.026613766	PRJNA853196	Disease	
ESCCT38	0.051437268	-0.023169975	PRJNA853196	Disease	
ESCCT39	0.065693973	-0.079154519	PRJNA853196	Disease	
ESCCT4	0.070597461	-0.03235988	PRJNA853196	Disease	
ESCCT40	0.067696314	-0.122781481	PRJNA853196	Disease	
ESCCT41	0.085434336	-0.05592871	PRJNA853196	Disease	
ESCCT42	0.057331422	0.012825633	PRJNA853196	Disease	
ESCCT43	0.07017794	0.030258493	PRJNA853196	Disease	
ESCCT44	0.07727426	-0.101334391	PRJNA853196	Disease	
ESCCT45	0.075620533	-0.065908569	PRJNA853196	Disease	
ESCCT46	0.071260577	-0.110250745	PRJNA853196	Disease	
ESCCT47	0.04777497	-0.031256374	PRJNA853196	Disease	
ESCCT48	0.014188001	-0.022978297	PRJNA853196	Disease	
ESCCT49	0.058924107	-0.091759286	PRJNA853196	Disease	
ESCCT5	0.077562588	-0.072281028	PRJNA853196	Disease	
ESCCT50	0.064912914	-0.069245846	PRJNA853196	Disease	
ESCCT51	0.070105514	-0.080027072	PRJNA853196	Disease	
ESCCT52	0.082289921	0.017447077	PRJNA853196	Disease	
ESCCT53	0.06967233	0.071153912	PRJNA853196	Disease	
ESCCT54	0.05513454	-0.055429472	PRJNA853196	Disease	
ESCCT55	0.046581256	-0.050017611	PRJNA853196	Disease	
ESCCT56	0.044286746	-0.025459149	PRJNA853196	Disease	
ESCCT6	0.063462745	-0.082672768	PRJNA853196	Disease	
ESCCT7	0.08563417	-0.055030097	PRJNA853196	Disease	
ESCCT8	0.038260679	-0.045211527	PRJNA853196	Disease	
ESCCT9	0.040467607	0.028054991	PRJNA853196	Disease	
