	asv	p	p.adj	log10FDR	Fold_change	gFC	gFC_label	gFC_abs
44	"f__Prevotellaceae,g__Prevotella"	0.0476	0.08568	1.067120542	1.29440966	0.001435008	pos	0.001435008
45	"f__Prevotellaceae,g__Prevotella_7"	0.00657	0.022995	1.638366586	241.7590891	0.26801886	pos	0.26801886
46	"f__Prevotellaceae,g__uncultured"	1.20E-05	0.000126	3.899629455	240.4871124	0.266608722	pos	0.266608722
47	"f__Rikenellaceae,g__Rikenellaceae_RC9_gut_group"	0.345	0.4528125	0.344081593	-0.842635659	-0.000934162	neg	0.000934162
48	"f__Saccharimonadaceae,g__Candidatus_Saccharimonas"	0.00599	0.022717059	1.643647897	-5.665116279	-0.006280459	neg	0.006280459
49	"f__Saccharimonadaceae,g__Saccharimonadaceae"	0.0821	0.136113158	0.86609989	19.06492248	0.021135746	pos	0.021135746
50	"f__Saccharimonadaceae,g__TM7x"	0.68	0.702295082	0.153480373	103.2257752	0.114438116	pos	0.114438116
51	"f__Saccharimonadales,g__Saccharimonadales"	0.239	0.342204545	0.465714226	-18.67422481	-0.020702611	neg	0.020702611
52	f__Selenomonadaceae	0.0243	0.058880769	1.230026525	20.24253876	0.022441275	pos	0.022441275
53	"f__Selenomonadaceae,g__Centipeda"	0.00046	0.002415	2.617082865	25.05413437	0.027775504	pos	0.027775504
54	"f__Selenomonadaceae,g__Selenomonas"	0.000178	0.00140175	2.853329435	14.69844961	0.016294989	pos	0.016294989
55	"f__Spirochaetaceae,g__Treponema"	0.173	0.2595	0.585862638	-4.523158915	-0.005014463	neg	0.005014463
56	"f__Streptococcaceae,g__Streptococcus"	0.57	0.619137931	0.208212588	79.29801357	0.087911331	pos	0.087911331
57	"f__Tannerellaceae,g__Tannerella"	0.0464	0.08568	1.067120542	7.351065891	0.008149536	pos	0.008149536
58	"f__Veillonellaceae,g__Anaeroglobus"	0.00824	0.025956	1.585762235	15.97209302	0.017706975	pos	0.017706975
59	"f__Veillonellaceae,g__Dialister"	8.05E-07	1.01E-05	4.993833575	127.6143411	0.141475757	pos	0.141475757
60	"f__Veillonellaceae,g__Megasphaera"	1.02E-07	2.14E-06	5.669180534	49.79452519	0.055203186	pos	0.055203186
61	"f__Veillonellaceae,g__Veillonella"	0.0286	0.065925	1.180949862	177.7254199	0.197029881	pos	0.197029881
62	"f__Veillonellaceae,g__Veillonellaceae"	0.253	0.3542	0.450751443	3.170736434	0.00351514	pos	0.00351514
63	"f__Weeksellaceae,g__Bergeyella"	0.000775	0.0034875	2.457485784	-11.10222868	-0.012308148	neg	0.012308148
